name,location,cuisine,top_dishes,price_for_2,dining_rating,dining_rating_count,delivery_rating,delivery_rating_count,features,price_category,cuisine_list,has_dine_in,has_delivery
Hotel Milan,Velachery,"['Biryani', ' South Indian', ' North Indian']",['Paratha'],600,2.9,110,3.4,915,"['Home Delivery', 'Free Parking', 'Catering Available', 'Indoor Seating']",Affordable,"['Biryani', ' South Indian', ' North Indian']",1,1
Sukha Nivas,Mylapore,"['South Indian', ' North Indian', ' Chinese']","['Coffee', ' Masala Dosa', ' Sweet Lassi', ' Pongal', ' Idli', ' Vada']",400,3.4,108,4.1,1318,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Catering Available', 'Indoor Seating']",Affordable,"['South Indian', ' North Indian', ' Chinese']",1,1
Abba Fast Food,Anna Nagar West,['Fast Food'],['Beef Chilli'],250,4.0,116,0.0,0,"['Free Parking', 'Indoor Seating']",Budget,['Fast Food'],1,0
Middle Class,T. Nagar,"['Fast Food', ' South Indian']",Invalid,200,3.6,123,3.3,6074,"['Home Delivery', 'Indoor Seating']",Budget,"['Fast Food', ' South Indian']",1,1
Bhai Kadai,Nanganallur,"['Chinese', ' North Indian', ' South Indian', ' Fast Food']",Invalid,350,3.7,91,4.0,1009,"['Breakfast', 'Home Delivery', 'Free Parking', 'Indoor Seating']",Affordable,"['Chinese', ' North Indian', ' South Indian', ' Fast Food']",1,1
Yummy,Mogappair,"['Chinese', ' North Indian']",['Panneer Butter Masala'],400,3.0,124,3.6,1164,"['Home Delivery', 'Indoor Seating']",Affordable,"['Chinese', ' North Indian']",1,1
Arya Bhavan,Kolathur,"['South Indian', ' North Indian', ' Chinese', ' Beverages']",['Coffee'],450,3.3,104,4.0,668,"['Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Catering Available']",Affordable,"['South Indian', ' North Indian', ' Chinese', ' Beverages']",1,1
Taj Restaurant,Poonamalle,"['Biryani', ' North Indian', ' Chinese']",['Shawarma'],400,3.8,122,4.0,1480,"['Home Delivery', 'Free Parking', 'Indoor Seating']",Affordable,"['Biryani', ' North Indian', ' Chinese']",1,1
The Bagel Pot,"Omr Food Street, Ambattur","['Continental', ' Italian']","['Brownie', ' Pasta', ' Cream Cheese Bagel', ' Lemonade', ' Garlic Bagel']",450,4.0,88,3.9,118,"['Home Delivery', 'Indoor Seating', 'Free Parking']",Affordable,"['Continental', ' Italian']",1,1
Udipi Shankar Bhavan,Aminijikarai,['South Indian'],Invalid,200,3.9,119,4.2,9214,"['Breakfast', 'Home Delivery', 'Indoor Seating']",Budget,['South Indian'],1,1
Reena Paul's Kitchen,Anna Nagar West,"['South Indian', ' North Indian', ' Fast Food']",Invalid,300,0.0,0,4.3,373,['Delivery Only'],Budget,"['South Indian', ' North Indian', ' Fast Food']",0,1
Food Track,Kodambakkam,"['Fast Food', ' Beverages']","['Burgers', ' French Fries', ' Mojito', ' Cheese Pasta', ' Sandwich']",500,3.9,96,4.1,305,"['Home Delivery', 'Indoor Seating']",Affordable,"['Fast Food', ' Beverages']",1,1
The Arab Station,"Omr Food Street, Navallur",['Arabian'],"['Chicken Grill', ' Meat Shawarma', ' French Fries']",200,3.8,103,4.2,1303,"['Home Delivery', 'Outdoor Seating']",Budget,['Arabian'],1,1
Charcoal Kitchen,Injambakkam,"['North Indian', ' Mughlai', ' Continental', ' Fast Food']","['Bbq Chicken', ' Noodle', ' Grilled Chicken Burger', ' Naan', ' Fish Finger', ' Pasta']",1500,3.2,66,0.0,0,"['Home Delivery', 'Table booking recommended', 'Indoor Seating', 'Valet Parking Available', 'Live Music']",Premium,"['North Indian', ' Mughlai', ' Continental', ' Fast Food']",1,0
Antidote,Anna Nagar East,"['Momos', ' Fast Food', ' Desserts', ' Beverages']","['Waffles', ' Momos', ' Fries', ' Thick Shakes', ' Popcorn']",400,3.9,104,3.8,731,"['Home Delivery', 'Outdoor Seating']",Affordable,"['Momos', ' Fast Food', ' Desserts', ' Beverages']",1,1
Amaravathi,Akkarai,['Andhra'],"['Sea Food', ' Fish Fry', ' Vegetable Biryani']",600,3.0,75,3.2,334,"['Home Delivery', 'Outdoor Seating', 'Indoor Seating']",Affordable,['Andhra'],1,1
Twisty Tails,Alwarpet,"['Italian', ' European', ' North Indian', ' Asian', ' Chinese']",Invalid,1000,3.1,89,0.0,0,"['Vegetarian Only', 'Indoor Seating']",Mid Range,"['Italian', ' European', ' North Indian', ' Asian', ' Chinese']",1,0
Taj Thalapakattu Biryani,Chengalpattu,"['Biryani', ' South Indian', ' North Indian', ' Chinese']",Invalid,300,3.8,125,3.7,8048,"['Home Delivery', 'Indoor Seating']",Budget,"['Biryani', ' South Indian', ' North Indian', ' Chinese']",1,1
Marrybrown,Pallavaram,"['Fast Food', ' Burger']",['Burgers'],500,2.6,91,3.9,1660,"['Home Delivery', 'Indoor Seating', 'Catering Available', 'Wifi', 'Table reservation required']",Affordable,"['Fast Food', ' Burger']",1,1
Adambakkam Mogul Biryani,Adambakkam,"['Chinese', ' Chettinad', ' Biryani', ' Mughlai']",Invalid,400,3.4,127,4.0,794,"['Home Delivery', 'Indoor Seating']",Affordable,"['Chinese', ' Chettinad', ' Biryani', ' Mughlai']",1,1
The Pizza,Chromepet,"['Pizza', ' Fast Food']",Invalid,300,2.8,125,3.3,977,"['Home Delivery', 'Indoor Seating']",Budget,"['Pizza', ' Fast Food']",1,1
Bonfire,T. Nagar,"['North Indian', ' South Indian']","['Shawarma', ' Reshmi Kebab']",500,3.7,96,3.6,369,"['Home Delivery', 'Indoor Seating', 'Table booking recommended', 'Rooftop']",Affordable,"['North Indian', ' South Indian']",1,1
Shree Lalithaa Bhavan,T. Nagar,"['South Indian', ' Chinese']","['Coffee', ' Panneer Butter Masala']",450,3.9,116,3.6,6967,"['Breakfast', 'Home Delivery', 'Indoor Seating']",Affordable,"['South Indian', ' Chinese']",1,1
